,021721_142_Diamond_TnaA.tsv,021721_183_Diamond_TnaA.tsv,021721_170_Diamond_TnaA.tsv,021721_129_Diamond_TnaA.tsv,021721_172_Diamond_TnaA.tsv,021721_74_Diamond_TnaA.tsv,021721_68_Diamond_TnaA.tsv,021721_107_Diamond_TnaA.tsv,021721_15_Diamond_TnaA.tsv,021721_27_Diamond_TnaA.tsv,021721_150_Diamond_TnaA.tsv,021721_175_Diamond_TnaA.tsv,021721_169_Diamond_TnaA.tsv,021721_22_Diamond_TnaA.tsv,021721_95_Diamond_TnaA.tsv,021721_20_Diamond_TnaA.tsv,021721_90_Diamond_TnaA.tsv,021721_162_Diamond_TnaA.tsv,021721_180_Diamond_TnaA.tsv,021721_86_Diamond_TnaA.tsv,021721_28_Diamond_TnaA.tsv,021721_133_Diamond_TnaA.tsv,021721_168_Diamond_TnaA.tsv,021721_67_Diamond_TnaA.tsv,021721_118_Diamond_TnaA.tsv,021721_161_Diamond_TnaA.tsv,021721_80_Diamond_TnaA.tsv,021721_155_Diamond_TnaA.tsv,021721_76_Diamond_TnaA.tsv,021721_188_Diamond_TnaA.tsv,021721_16_Diamond_TnaA.tsv,021721_30_Diamond_TnaA.tsv,021721_24_Diamond_TnaA.tsv,021721_120_Diamond_TnaA.tsv,021721_84_Diamond_TnaA.tsv,021721_182_Diamond_TnaA.tsv,021721_46_Diamond_TnaA.tsv,021721_171_Diamond_TnaA.tsv,021721_99_Diamond_TnaA.tsv,021721_110_Diamond_TnaA.tsv,021721_185_Diamond_TnaA.tsv,021721_48_Diamond_TnaA.tsv,021721_132_Diamond_TnaA.tsv,021721_181_Diamond_TnaA.tsv,021721_43_Diamond_TnaA.tsv,021721_146_Diamond_TnaA.tsv,021721_62_Diamond_TnaA.tsv,021721_135_Diamond_TnaA.tsv,021721_60_Diamond_TnaA.tsv,021721_77_Diamond_TnaA.tsv,021721_128_Diamond_TnaA.tsv,021721_40_Diamond_TnaA.tsv,021721_64_Diamond_TnaA.tsv,021721_11_Diamond_TnaA.tsv,021721_18_Diamond_TnaA.tsv,021721_59_Diamond_TnaA.tsv,021721_141_Diamond_TnaA.tsv,021721_114_Diamond_TnaA.tsv,021721_52_Diamond_TnaA.tsv,021721_63_Diamond_TnaA.tsv,021721_85_Diamond_TnaA.tsv,021721_149_Diamond_TnaA.tsv,021721_97_Diamond_TnaA.tsv,021721_109_Diamond_TnaA.tsv,021721_57_Diamond_TnaA.tsv,021721_191_Diamond_TnaA.tsv,021721_61_Diamond_TnaA.tsv,021721_127_Diamond_TnaA.tsv,021721_130_Diamond_TnaA.tsv,021721_42_Diamond_TnaA.tsv,021721_13_Diamond_TnaA.tsv,021721_81_Diamond_TnaA.tsv,021721_41_Diamond_TnaA.tsv,021721_131_Diamond_TnaA.tsv,021721_25_Diamond_TnaA.tsv,021721_134_Diamond_TnaA.tsv,021721_100_Diamond_TnaA.tsv,021721_83_Diamond_TnaA.tsv,021721_122_Diamond_TnaA.tsv,021721_75_Diamond_TnaA.tsv,021721_37_Diamond_TnaA.tsv,021721_51_Diamond_TnaA.tsv,021721_108_Diamond_TnaA.tsv,021721_101_Diamond_TnaA.tsv,021721_121_Diamond_TnaA.tsv,021721_53_Diamond_TnaA.tsv,021721_55_Diamond_TnaA.tsv,021721_115_Diamond_TnaA.tsv,021721_07_Diamond_TnaA.tsv,021721_140_Diamond_TnaA.tsv,021721_98_Diamond_TnaA.tsv,021721_36_Diamond_TnaA.tsv,021721_145_Diamond_TnaA.tsv,021721_89_Diamond_TnaA.tsv,021721_154_Diamond_TnaA.tsv,021721_39_Diamond_TnaA.tsv,021721_06_Diamond_TnaA.tsv,021721_96_Diamond_TnaA.tsv,021721_56_Diamond_TnaA.tsv,021721_35_Diamond_TnaA.tsv,021721_08_Diamond_TnaA.tsv,021721_72_Diamond_TnaA.tsv,021721_19_Diamond_TnaA.tsv,021721_187_Diamond_TnaA.tsv,021721_01_Diamond_TnaA.tsv,021021_03_Diamond_TnaA.tsv,021721_137_Diamond_TnaA.tsv,021721_166_Diamond_TnaA.tsv,021721_45_Diamond_TnaA.tsv,021721_47_Diamond_TnaA.tsv,021721_78_Diamond_TnaA.tsv,021721_124_Diamond_TnaA.tsv,021721_160_Diamond_TnaA.tsv,021721_192_Diamond_TnaA.tsv,021721_14_Diamond_TnaA.tsv,021721_26_Diamond_TnaA.tsv,021721_88_Diamond_TnaA.tsv,021721_04_Diamond_TnaA.tsv,021721_112_Diamond_TnaA.tsv,021721_173_Diamond_TnaA.tsv,021721_152_Diamond_TnaA.tsv,021721_136_Diamond_TnaA.tsv,021721_190_Diamond_TnaA.tsv,021721_44_Diamond_TnaA.tsv,021721_50_Diamond_TnaA.tsv,021721_143_Diamond_TnaA.tsv,021721_12_Diamond_TnaA.tsv,021721_176_Diamond_TnaA.tsv,021721_54_Diamond_TnaA.tsv,021721_156_Diamond_TnaA.tsv,021721_65_Diamond_TnaA.tsv,021721_33_Diamond_TnaA.tsv,021721_174_Diamond_TnaA.tsv,021721_91_Diamond_TnaA.tsv,021021_02_Diamond_TnaA.tsv,021721_126_Diamond_TnaA.tsv,021721_117_Diamond_TnaA.tsv,021721_123_Diamond_TnaA.tsv,021721_148_Diamond_TnaA.tsv,021721_103_Diamond_TnaA.tsv,021021_01_Diamond_TnaA.tsv,021721_58_Diamond_TnaA.tsv,021721_05_Diamond_TnaA.tsv,021721_49_Diamond_TnaA.tsv,021721_163_Diamond_TnaA.tsv,021721_138_Diamond_TnaA.tsv,021721_93_Diamond_TnaA.tsv,021721_94_Diamond_TnaA.tsv,021721_92_Diamond_TnaA.tsv,021721_113_Diamond_TnaA.tsv,021721_158_Diamond_TnaA.tsv,021721_31_Diamond_TnaA.tsv,021721_21_Diamond_TnaA.tsv,021721_165_Diamond_TnaA.tsv,021721_179_Diamond_TnaA.tsv,021721_09_Diamond_TnaA.tsv,021721_79_Diamond_TnaA.tsv,021721_105_Diamond_TnaA.tsv,021721_177_Diamond_TnaA.tsv,021721_02_Diamond_TnaA.tsv,021721_10_Diamond_TnaA.tsv,021721_125_Diamond_TnaA.tsv,021721_17_Diamond_TnaA.tsv,021721_178_Diamond_TnaA.tsv,021721_87_Diamond_TnaA.tsv,021721_153_Diamond_TnaA.tsv,021721_70_Diamond_TnaA.tsv,021721_34_Diamond_TnaA.tsv,021721_29_Diamond_TnaA.tsv,021721_66_Diamond_TnaA.tsv,021721_73_Diamond_TnaA.tsv,021721_119_Diamond_TnaA.tsv,021721_164_Diamond_TnaA.tsv,021721_106_Diamond_TnaA.tsv,021721_111_Diamond_TnaA.tsv,021721_144_Diamond_TnaA.tsv,021721_03_Diamond_TnaA.tsv,021721_82_Diamond_TnaA.tsv,021721_151_Diamond_TnaA.tsv,021721_139_Diamond_TnaA.tsv,021721_71_Diamond_TnaA.tsv,021721_147_Diamond_TnaA.tsv,021721_157_Diamond_TnaA.tsv,021721_69_Diamond_TnaA.tsv,021721_32_Diamond_TnaA.tsv,021721_184_Diamond_TnaA.tsv,021721_116_Diamond_TnaA.tsv,021721_38_Diamond_TnaA.tsv,021721_186_Diamond_TnaA.tsv,021721_104_Diamond_TnaA.tsv,021721_189_Diamond_TnaA.tsv,021721_167_Diamond_TnaA.tsv,021721_159_Diamond_TnaA.tsv,021721_102_Diamond_TnaA.tsv,021721_23_Diamond_TnaA.tsv
Shigella,387.0,0.0,0.0,71.0,0.0,891.0,825.0,120.0,0.0,156.0,2520.0,313.0,9.0,3553.0,541.0,316.0,1568.0,196.0,557.0,189.0,4517.0,380.0,19.0,1476.0,1382.0,0.0,286.0,65.0,615.0,876.0,27.0,994.0,456.0,10.0,3428.0,248.0,785.0,18.0,2.0,165.0,320.0,2206.0,8.0,113.0,0.0,383.0,401.0,4.0,317.0,652.0,562.0,378.0,37.0,188.0,462.0,1368.0,0.0,14.0,3.0,750.0,72.0,0.0,550.0,0.0,208.0,43.0,1.0,118.0,10.0,36.0,57.0,879.0,679.0,1062.0,154.0,26.0,57.0,111.0,44.0,152.0,30.0,83.0,7.0,0.0,89.0,0.0,583.0,56.0,100.0,141.0,222.0,405.0,78.0,178.0,0.0,201.0,1356.0,39.0,76.0,0.0,145.0,3898.0,189.0,109.0,435.0,140.0,1326.0,340.0,538.0,569.0,1895.0,7.0,641.0,16.0,192.0,2207.0,325.0,0.0,34.0,191.0,1.0,121.0,268.0,519.0,562.0,0.0,136.0,200.0,0.0,661.0,388.0,99.0,135.0,379.0,71.0,495.0,433.0,603.0,4.0,154.0,5.0,0.0,203.0,0.0,896.0,65.0,1032.0,64.0,2.0,152.0,1135.0,262.0,2178.0,0.0,17.0,2147.0,642.0,44.0,0.0,2511.0,308.0,173.0,0.0,0.0,306.0,483.0,1290.0,180.0,3335.0,0.0,32.0,30.0,0.0,381.0,28.0,297.0,181.0,1810.0,0.0,79.0,0.0,170.0,2758.0,650.0,10.0,756.0,55.0,5651.0,601.0,388.0,774.0,490.0,210.0,93.0,381.0
Bacteroides,5.0,0.0,0.0,0.0,0.0,13.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1262.0,29.0,0.0,0.0,3.0,0.0,1623.0,1.0,0.0,0.0,0.0,16.0,2.0,6.0,0.0,780.0,1.0,1.0,28.0,0.0,1.0,903.0,4.0,12.0,23.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,121.0,229.0,2.0,0.0,0.0,0.0,0.0,0.0,1159.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,972.0,37.0,66.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,15.0,39.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,41.0,1.0,6.0,0.0,0.0,0.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,19.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,3.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,70.0,0.0,112.0,0.0,4.0,0.0,489.0,4.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,7.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Escherichia,35.0,0.0,0.0,4.0,0.0,98.0,87.0,19.0,0.0,7.0,217.0,23.0,0.0,298.0,51.0,37.0,128.0,20.0,50.0,16.0,444.0,42.0,2.0,150.0,135.0,0.0,18.0,6.0,50.0,77.0,0.0,80.0,43.0,0.0,318.0,22.0,84.0,1.0,0.0,21.0,29.0,189.0,0.0,14.0,0.0,39.0,34.0,0.0,27.0,58.0,46.0,31.0,1.0,26.0,55.0,131.0,0.0,1.0,0.0,77.0,4.0,0.0,56.0,0.0,18.0,5.0,0.0,16.0,1.0,4.0,4.0,75.0,75.0,81.0,19.0,2.0,4.0,5.0,1.0,17.0,0.0,12.0,2.0,0.0,11.0,0.0,64.0,2.0,9.0,14.0,27.0,40.0,7.0,25.0,0.0,18.0,122.0,2.0,6.0,0.0,14.0,384.0,14.0,12.0,45.0,9.0,95.0,38.0,48.0,47.0,181.0,0.0,56.0,2.0,14.0,213.0,23.0,0.0,4.0,45.0,0.0,13.0,23.0,48.0,55.0,0.0,9.0,12.0,0.0,74.0,39.0,11.0,13.0,37.0,8.0,54.0,25.0,51.0,0.0,16.0,0.0,0.0,9.0,0.0,75.0,5.0,108.0,8.0,0.0,11.0,123.0,27.0,196.0,0.0,1.0,205.0,67.0,5.0,0.0,253.0,28.0,19.0,0.0,0.0,20.0,52.0,114.0,13.0,331.0,0.0,2.0,2.0,0.0,22.0,0.0,31.0,20.0,159.0,0.0,5.0,0.0,9.0,283.0,71.0,3.0,79.0,3.0,572.0,47.0,44.0,100.0,48.0,15.0,5.0,38.0
